fire_id,fire_year,observation_year,years_since_fire,area_ha,centroid_lat,centroid_lon,NBR,NDVI,NBR_pre,NDVI_pre,dNBR
19961080399,1996,1999,3,881.0,50.00459098335045,-76.44000113717601,0.2832423108084638,0.22053249037773068,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2000,4,881.0,50.00459098335045,-76.44000113717601,0.22472195342409074,0.4549866360852457,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2001,5,881.0,50.00459098335045,-76.44000113717601,0.3380394854398293,0.5720949047277321,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2002,6,881.0,50.00459098335045,-76.44000113717601,0.39257104322976516,0.5215790626059318,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2003,7,881.0,50.00459098335045,-76.44000113717601,0.34973657799342794,0.33393944448146606,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2004,8,881.0,50.00459098335045,-76.44000113717601,0.39249586633892397,0.0896918490151202,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2005,9,881.0,50.00459098335045,-76.44000113717601,0.4667700029338381,0.4121466975891726,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2006,10,881.0,50.00459098335045,-76.44000113717601,0.48648082413701066,0.6895224897870491,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2007,11,881.0,50.00459098335045,-76.44000113717601,0.45890888142410946,0.6307659315434194,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2008,12,881.0,50.00459098335045,-76.44000113717601,0.5216689088111054,0.599557679456419,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2009,13,881.0,50.00459098335045,-76.44000113717601,0.4354919624977792,0.3535457113087614,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2010,14,881.0,50.00459098335045,-76.44000113717601,0.4472834529233976,0.4901451554508652,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2011,15,881.0,50.00459098335045,-76.44000113717601,0.4472324099538575,0.3769128345564541,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2012,16,881.0,50.00459098335045,-76.44000113717601,0.38853249915048466,0.0982251562137161,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2013,17,881.0,50.00459098335045,-76.44000113717601,0.525431274715398,0.7011861995551436,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2014,18,881.0,50.00459098335045,-76.44000113717601,0.45904380856135174,0.4005181720388292,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2015,19,881.0,50.00459098335045,-76.44000113717601,0.5136954340961738,0.6427475153789393,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,2016,20,881.0,50.00459098335045,-76.44000113717601,0.5917191470387619,0.7559705727146045,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080536,1996,1993,-3,6862.0,50.294283458815954,-76.2048146362308,0.5050263772019388,0.5333095746371728,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,1994,-2,6862.0,50.294283458815954,-76.2048146362308,0.541126193765978,0.6543075703988042,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,1995,-1,6862.0,50.294283458815954,-76.2048146362308,0.5253518603596903,0.6621424274124788,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,1996,0,6862.0,50.294283458815954,-76.2048146362308,0.3141054826665277,0.05984325176423467,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,1997,1,6862.0,50.294283458815954,-76.2048146362308,0.5195411532488176,0.019467786421033008,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,1998,2,6862.0,50.294283458815954,-76.2048146362308,0.2283699310940924,0.5953489083076425,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,1999,3,6862.0,50.294283458815954,-76.2048146362308,0.3336420617501254,0.3341466295723344,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2000,4,6862.0,50.294283458815954,-76.2048146362308,0.2869403624118958,0.5841652239635213,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2001,5,6862.0,50.294283458815954,-76.2048146362308,0.35334073970956803,0.4549938320485356,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2002,6,6862.0,50.294283458815954,-76.2048146362308,0.3456310712551212,0.3965245443725569,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2003,7,6862.0,50.294283458815954,-76.2048146362308,0.3339463724880279,0.20513972628598054,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2004,8,6862.0,50.294283458815954,-76.2048146362308,0.336865997233,0.2247737833454106,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2005,9,6862.0,50.294283458815954,-76.2048146362308,0.43562144730353175,0.5725149838672039,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2006,10,6862.0,50.294283458815954,-76.2048146362308,0.44315011396539455,0.6308308864431349,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2007,11,6862.0,50.294283458815954,-76.2048146362308,0.3885334647384995,0.38497596171382004,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2008,12,6862.0,50.294283458815954,-76.2048146362308,0.3416052082422476,0.29101719174652324,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2009,13,6862.0,50.294283458815954,-76.2048146362308,0.36610461257278587,0.10033570524639882,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2010,14,6862.0,50.294283458815954,-76.2048146362308,0.39738256740313155,0.24018606650354002,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2011,15,6862.0,50.294283458815954,-76.2048146362308,0.5059233377692606,0.6622865623328973,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2012,16,6862.0,50.294283458815954,-76.2048146362308,0.3611771605919542,0.18340998382268964,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2013,17,6862.0,50.294283458815954,-76.2048146362308,0.4942331014350804,0.7283195794779698,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2014,18,6862.0,50.294283458815954,-76.2048146362308,0.4834203757792306,0.66612987705612,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2015,19,6862.0,50.294283458815954,-76.2048146362308,0.5069100299690177,0.6659475791824013,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080536,1996,2016,20,6862.0,50.294283458815954,-76.2048146362308,0.48263479045806307,0.45522517466750934,0.5253518603596903,0.6543075703988042,0.21124637769316257
19961080651,1996,1993,-3,4130.0,50.18051397610666,-75.86210334401093,0.5556282790021875,0.6659648119832222,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,1994,-2,4130.0,50.18051397610666,-75.86210334401093,0.5712154167020597,0.6466011421539462,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,1995,-1,4130.0,50.18051397610666,-75.86210334401093,0.5408417828350258,0.6504910499511471,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,1996,0,4130.0,50.18051397610666,-75.86210334401093,0.23340552833481942,0.10727230112784936,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,1997,1,4130.0,50.18051397610666,-75.86210334401093,0.4880380427278018,-0.02663072097676322,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,1998,2,4130.0,50.18051397610666,-75.86210334401093,0.23867953037442408,0.5761008511658827,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,1999,3,4130.0,50.18051397610666,-75.86210334401093,0.3421042397548154,0.37112727000475054,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2000,4,4130.0,50.18051397610666,-75.86210334401093,0.2089421426983751,0.5917548157380735,0.5556282790021875,0.6504910499511471,0.32222275066736805
